"DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST","DEP_TIME","DEP_DEL15","DEP_TIME_BLK","ARR_TIME","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE",
1,3,"EV",20366,"EV","N48901","4397",13930,1393007,"ORD",11977,1197705,"GRB","1003",0.00,"1000-1059","1117",0.00,0.00,0.00,174.00,
1,3,"EV",20366,"EV","N16976","4401",15370,1537002,"TUL",13930,1393007,"ORD","1027",0.00,"1000-1059","1216",0.00,0.00,0.00,585.00,
1,3,"EV",20366,"EV","N12167","4404",11618,1161802,"EWR",15412,1541205,"TYS","1848",0.00,"1800-1859","2120",0.00,0.00,0.00,631.00,
1,3,"EV",20366,"EV","N14902","4405",10781,1078105,"BTR",12266,1226603,"IAH","1846",0.00,"1800-1859","2004",0.00,0.00,0.00,253.00,
1,3,"EV",20366,"EV","N606UX","4407",14524,1452401,"RIC",12266,1226603,"IAH","1038",0.00,"1000-1059","1330",0.00,0.00,0.00,1157.00,
1,3,"EV",20366,"EV","N605UX","4408",13871,1387102,"OMA",12266,1226603,"IAH","0555",0.00,"0600-0659","0838",0.00,0.00,0.00,781.00,
1,3,"EV",20366,"EV","N14991","4410",12266,1226603,"IAH",14814,1481402,"SHV","1610",0.00,"1600-1659","1718",0.00,0.00,0.00,192.00,
1,3,"EV",20366,"EV","N15986","4411",12266,1226603,"IAH",12206,1220605,"HRL","1415",0.00,"1400-1459","1531",0.00,0.00,0.00,295.00,
1,3,"EV",20366,"EV","N603UX","4412",13930,1393007,"ORD",10140,1014005,"ABQ","1938",0.00,"1900-1959","2204",0.00,0.00,0.00,1118.00,
1,3,"EV",20366,"EV","N13975","4414",11618,1161802,"EWR",13485,1348502,"MSN","1011",0.00,"1000-1059","1139",0.00,0.00,0.00,799.00,
1,3,"EV",20366,"EV","N616UX","4415",11278,1127805,"DCA",13930,1393007,"ORD","1306",1.00,"1100-1159","1404",1.00,0.00,0.00,612.00,
1,3,"EV",20366,"EV","N601UX","4417",11278,1127805,"DCA",13930,1393007,"ORD","1843",0.00,"1800-1859","1945",0.00,0.00,0.00,612.00,
1,3,"EV",20366,"EV","N13979","4418",12266,1226603,"IAH",12451,1245102,"JAX","0735",0.00,"0700-0759","1039",0.00,0.00,0.00,817.00,
1,3,"EV",20366,"EV","N14562","4419",11140,1114008,"CRP",12266,1226603,"IAH","1847",0.00,"1800-1859","1941",0.00,0.00,0.00,201.00,
